FlightDate,Tail_Number,Manufacturer,Model,ICAO_Type,Estimated_Distance_km,Estimated_Cruise_Fuel_Flow_kghr,Estimated_Total_Fuel_kg,Assumed_Cruise_Mass_kg
2023-01-02,N605LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,162.9022937317257,,,
2023-01-03,N605LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,162.9022937317257,,,
2023-01-04,N331PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,162.9022937317257,,,
2023-01-05,N906XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,162.9022937317257,,,
2023-01-06,N337PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,162.9022937317257,,,
2023-01-07,N336PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,162.9022937317257,,,
2023-01-14,N311PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,939.5060244849057,,,
2023-01-21,N917XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,939.5060244849057,,,
2023-01-28,N336PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,939.5060244849057,,,
2023-01-09,N491PX,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-10,N478PX,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-11,N135EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-12,N197PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-13,N915XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-15,N920XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-16,N916XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-17,N902XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-18,N491PX,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-19,N691CA,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-20,N904XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-22,N310PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-23,N917XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-24,N182GJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-25,N490PX,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-26,N134EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-27,N919XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-29,N485PX,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-30,N491PX,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-31,N485PX,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,172.7443924504344,,,
2023-01-01,N906XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,232.05470268989666,,,
2023-01-02,N197PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,232.05470268989666,,,
2023-01-09,N181GJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-10,N937XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-11,N604LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-12,N371CA,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-13,N324PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-14,N316PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-15,N197PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-16,N907XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-17,N186PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-18,N601LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-19,N135EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-20,N292PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-21,N279PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-22,N601LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-23,N606LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-24,N295PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-25,N313PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-26,N146PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-27,N923XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-28,N923XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-29,N337PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-30,N923XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-31,N314PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-09,N181GJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-10,N937XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-11,N604LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-12,N371CA,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-13,N324PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-14,N316PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-15,N197PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-16,N907XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-17,N186PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-18,N601LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-19,N135EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-20,N292PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-21,N279PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-22,N601LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-23,N606LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-24,N295PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-25,N313PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-26,N146PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-27,N923XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-28,N923XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-29,N337PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-30,N923XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-31,N314PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,531.0345809951175,,,
2023-01-08,N136EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-09,N166PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-10,N314PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-11,N601LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-12,N905XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-13,N602LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-14,N304PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-15,N301PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-16,N305PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-17,N272PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-18,N197PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-19,N605LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-20,N330PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-21,N691CA,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-22,N538CA,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-23,N678CA,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-24,N920XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-26,N341PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-27,N296PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-28,N133EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-29,N176PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-30,N301PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-31,N606LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,303.40102638735084,,,
2023-01-01,N197PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,850.9460728536994,,,
2023-01-02,N303PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,850.9460728536994,,,
2023-01-03,N183GJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,850.9460728536994,,,
2023-01-04,N136EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,850.9460728536994,,,
2023-01-05,N295PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,850.9460728536994,,,
2023-01-06,N137EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,850.9460728536994,,,
2023-01-07,N337PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,850.9460728536994,,,
2023-01-08,N197PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,850.9460728536994,,,
2023-01-02,N906XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-04,N138EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-05,N330PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-06,N302PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-07,N925XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-08,N936XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-02,N906XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-04,N337PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-05,N330PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-06,N324PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-07,N136EV,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-08,N936XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,1166.3293722732233,,,
2023-01-09,N228PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-10,N305PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-12,N301PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-13,N331PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-14,N228PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-15,N272PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-16,N335PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-17,N330PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-18,N913XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-19,N232PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-20,N600LR,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-21,N195PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-22,N181PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-23,N341PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-24,N906XJ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-26,N186PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-27,N186PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
2023-01-28,N314PQ,CANADAIR REGIONAL JET,CRJ,Unknown Aircraft,295.348868894413,,,
